open_time_raw,open_time_utc,open_time_eastern,open,high,low,close,volume,close_time_raw,close_time_utc,close_time_eastern,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1773159600000000,2026-03-10T16:20:00+00:00,2026-03-10T12:20:00-04:00,71448.02000000,71450.81000000,71404.47000000,71444.06000000,26.21914000,1773159659999999,2026-03-10T16:20:59.999999+00:00,2026-03-10T12:20:59.999999-04:00,1872761.15540770,4915,10.98646000,784698.01310310,0
1773159660000000,2026-03-10T16:21:00+00:00,2026-03-10T12:21:00-04:00,71444.06000000,71539.93000000,71389.27000000,71389.28000000,38.66247000,1773159719999999,2026-03-10T16:21:59.999999+00:00,2026-03-10T12:21:59.999999-04:00,2763042.30197590,8055,24.85979000,1776547.59431040,0
1773159720000000,2026-03-10T16:22:00+00:00,2026-03-10T12:22:00-04:00,71389.27000000,71487.87000000,71367.91000000,71485.21000000,24.29405000,1773159779999999,2026-03-10T16:22:59.999999+00:00,2026-03-10T12:22:59.999999-04:00,1735392.44139540,5467,14.23780000,1017026.27634350,0
1773159780000000,2026-03-10T16:23:00+00:00,2026-03-10T12:23:00-04:00,71485.21000000,71587.92000000,71475.26000000,71508.52000000,33.31992000,1773159839999999,2026-03-10T16:23:59.999999+00:00,2026-03-10T12:23:59.999999-04:00,2383657.72449810,5731,24.98398000,1787320.06278630,0
1773159840000000,2026-03-10T16:24:00+00:00,2026-03-10T12:24:00-04:00,71508.52000000,71539.40000000,71508.52000000,71531.39000000,16.03491000,1773159899999999,2026-03-10T16:24:59.999999+00:00,2026-03-10T12:24:59.999999-04:00,1147005.05047270,2686,9.15540000,654879.08068330,0
1773159900000000,2026-03-10T16:25:00+00:00,2026-03-10T12:25:00-04:00,71531.38000000,71700.00000000,71513.15000000,71630.01000000,121.46090000,1773159959999999,2026-03-10T16:25:59.999999+00:00,2026-03-10T12:25:59.999999-04:00,8700086.59868530,10698,103.66290000,7424942.15104870,0
1773159960000000,2026-03-10T16:26:00+00:00,2026-03-10T12:26:00-04:00,71630.00000000,71675.89000000,71492.32000000,71505.71000000,30.17882000,1773160019999999,2026-03-10T16:26:59.999999+00:00,2026-03-10T12:26:59.999999-04:00,2161240.15805770,8237,15.22880000,1090812.82310280,0
1773160020000000,2026-03-10T16:27:00+00:00,2026-03-10T12:27:00-04:00,71505.71000000,71509.29000000,71460.44000000,71498.81000000,23.09163000,1773160079999999,2026-03-10T16:27:59.999999+00:00,2026-03-10T12:27:59.999999-04:00,1650760.09403600,5495,14.71304000,1051767.78574020,0
1773160080000000,2026-03-10T16:28:00+00:00,2026-03-10T12:28:00-04:00,71498.82000000,71498.83000000,71375.00000000,71376.81000000,18.13466000,1773160139999999,2026-03-10T16:28:59.999999+00:00,2026-03-10T12:28:59.999999-04:00,1295253.72616150,4919,6.71799000,479920.45373000,0
1773160140000000,2026-03-10T16:29:00+00:00,2026-03-10T12:29:00-04:00,71376.80000000,71387.93000000,71304.77000000,71364.42000000,21.08500000,1773160199999999,2026-03-10T16:29:59.999999+00:00,2026-03-10T12:29:59.999999-04:00,1504557.63541510,6923,6.84748000,488584.56985970,0
