Time (ET),Price
2026-03-17 12:00:00,73975.65000000
2026-03-17 12:01:00,73939.49000000
2026-03-17 12:02:00,73918.75000000
2026-03-17 12:03:00,73874.63000000
2026-03-17 12:04:00,73957.04000000
2026-03-17 12:05:00,73972.20000000
2026-03-17 12:06:00,74082.23000000
2026-03-17 12:07:00,74013.99000000
2026-03-17 12:08:00,74078.22000000
2026-03-17 12:09:00,74088.00000000
2026-03-17 12:10:00,74094.86000000
2026-03-17 12:11:00,74126.76000000
2026-03-17 12:12:00,74014.46000000
2026-03-17 12:13:00,74057.27000000
2026-03-17 12:14:00,73972.33000000
2026-03-17 12:15:00,74011.75000000
2026-03-17 12:16:00,74082.28000000
2026-03-17 12:17:00,74155.10000000
2026-03-17 12:18:00,74231.87000000
2026-03-17 12:19:00,74226.36000000
2026-03-17 12:20:00,74187.61000000
2026-03-17 12:21:00,74164.91000000
2026-03-17 12:22:00,74253.60000000
2026-03-17 12:23:00,74281.18000000
2026-03-17 12:24:00,74339.40000000
2026-03-17 12:25:00,74320.39000000
2026-03-17 12:26:00,74286.93000000
2026-03-17 12:27:00,74263.08000000
2026-03-17 12:28:00,74210.00000000
2026-03-17 12:29:00,74205.21000000
2026-03-17 12:30:00,74206.57000000
2026-03-17 12:31:00,74144.52000000
2026-03-17 12:32:00,74165.51000000
2026-03-17 12:33:00,74094.86000000
2026-03-17 12:34:00,74111.70000000
2026-03-17 12:35:00,74092.16000000
2026-03-17 12:36:00,74006.58000000
2026-03-17 12:37:00,74001.69000000
2026-03-17 12:38:00,74038.38000000
2026-03-17 12:39:00,74048.84000000
2026-03-17 12:40:00,74048.00000000
2026-03-17 12:41:00,74071.20000000
2026-03-17 12:42:00,74083.23000000
2026-03-17 12:43:00,74123.23000000
2026-03-17 12:44:00,74136.66000000
2026-03-17 12:45:00,74150.42000000
2026-03-17 12:46:00,74091.52000000
2026-03-17 12:47:00,74057.95000000
2026-03-17 12:48:00,74086.61000000
2026-03-17 12:49:00,74127.87000000
2026-03-17 12:50:00,74207.81000000
2026-03-17 12:51:00,74226.98000000
2026-03-17 12:52:00,74244.85000000
2026-03-17 12:53:00,74225.45000000
2026-03-17 12:54:00,74206.33000000
2026-03-17 12:55:00,74220.40000000
2026-03-17 12:56:00,74164.84000000
2026-03-17 12:57:00,74111.11000000
2026-03-17 12:58:00,74125.66000000
2026-03-17 12:59:00,74155.69000000
2026-03-17 13:00:00,74235.06000000
2026-03-17 13:01:00,74273.52000000
2026-03-17 13:02:00,74293.04000000
2026-03-17 13:03:00,74293.79000000
2026-03-17 13:04:00,74226.62000000
2026-03-17 13:05:00,74237.67000000
2026-03-17 13:06:00,74190.08000000
2026-03-17 13:07:00,74196.33000000
2026-03-17 13:08:00,74205.56000000
2026-03-17 13:09:00,74201.19000000
2026-03-17 13:10:00,74006.59000000
2026-03-17 13:11:00,74145.08000000
2026-03-17 13:12:00,74176.55000000
2026-03-17 13:13:00,74189.80000000
2026-03-17 13:14:00,74218.90000000
2026-03-17 13:15:00,74191.33000000
2026-03-17 13:16:00,74207.72000000
2026-03-17 13:17:00,74238.43000000
2026-03-17 13:18:00,74275.91000000
2026-03-17 13:19:00,74269.77000000
2026-03-17 13:20:00,74252.11000000
2026-03-17 13:21:00,74297.67000000
2026-03-17 13:22:00,74423.72000000
2026-03-17 13:23:00,74422.53000000
2026-03-17 13:24:00,74360.29000000
2026-03-17 13:25:00,74300.00000000
2026-03-17 13:26:00,74328.22000000
2026-03-17 13:27:00,74310.93000000
2026-03-17 13:28:00,74286.24000000
2026-03-17 13:29:00,74287.75000000
2026-03-17 13:30:00,74297.15000000
2026-03-17 13:31:00,74336.88000000
2026-03-17 13:32:00,74367.98000000
2026-03-17 13:33:00,74261.26000000
2026-03-17 13:34:00,74247.68000000
2026-03-17 13:35:00,74285.88000000
2026-03-17 13:36:00,74323.52000000
2026-03-17 13:37:00,74360.05000000
2026-03-17 13:38:00,74333.31000000
2026-03-17 13:39:00,74397.29000000
2026-03-17 13:40:00,74413.82000000
2026-03-17 13:41:00,74450.91000000
2026-03-17 13:42:00,74465.46000000
2026-03-17 13:43:00,74413.02000000
2026-03-17 13:44:00,74421.53000000
2026-03-17 13:45:00,74395.23000000
2026-03-17 13:46:00,74430.65000000
2026-03-17 13:47:00,74364.87000000
2026-03-17 13:48:00,74449.11000000
2026-03-17 13:49:00,74525.73000000
2026-03-17 13:50:00,74535.89000000
2026-03-17 13:51:00,74541.34000000
2026-03-17 13:52:00,74563.12000000
2026-03-17 13:53:00,74534.45000000
2026-03-17 13:54:00,74512.01000000
2026-03-17 13:55:00,74456.01000000
2026-03-17 13:56:00,74490.47000000
2026-03-17 13:57:00,74530.02000000
2026-03-17 13:58:00,74505.94000000
2026-03-17 13:59:00,74523.75000000
2026-03-17 14:00:00,74479.02000000
2026-03-17 14:01:00,74451.55000000
2026-03-17 14:02:00,74540.97000000
2026-03-17 14:03:00,74589.84000000
2026-03-17 14:04:00,74551.63000000
2026-03-17 14:05:00,74517.36000000
2026-03-17 14:06:00,74600.74000000
2026-03-17 14:07:00,74620.00000000
2026-03-17 14:08:00,74600.65000000
2026-03-17 14:09:00,74626.29000000
2026-03-17 14:10:00,74637.60000000
2026-03-17 14:11:00,74666.65000000
2026-03-17 14:12:00,74626.14000000
2026-03-17 14:13:00,74596.24000000
2026-03-17 14:14:00,74597.69000000
2026-03-17 14:15:00,74568.28000000
2026-03-17 14:16:00,74597.68000000
2026-03-17 14:17:00,74569.96000000
2026-03-17 14:18:00,74574.88000000
2026-03-17 14:19:00,74608.87000000
2026-03-17 14:20:00,74629.33000000
2026-03-17 14:21:00,74574.11000000
2026-03-17 14:22:00,74573.53000000
2026-03-17 14:23:00,74535.48000000
2026-03-17 14:24:00,74464.42000000
2026-03-17 14:25:00,74418.90000000
2026-03-17 14:26:00,74397.92000000
