Time (ET),Price
2026-03-26 12:00:00,69024.08000000
2026-03-26 12:01:00,69025.00000000
2026-03-26 12:02:00,69047.00000000
2026-03-26 12:03:00,68952.62000000
2026-03-26 12:04:00,68996.89000000
2026-03-26 12:05:00,69004.82000000
2026-03-26 12:06:00,69017.12000000
2026-03-26 12:07:00,69037.17000000
2026-03-26 12:08:00,69009.60000000
2026-03-26 12:09:00,69004.82000000
2026-03-26 12:10:00,68979.96000000
2026-03-26 12:11:00,68961.02000000
2026-03-26 12:12:00,69008.71000000
2026-03-26 12:13:00,68985.49000000
2026-03-26 12:14:00,69022.57000000
2026-03-26 12:15:00,68981.41000000
2026-03-26 12:16:00,68898.39000000
2026-03-26 12:17:00,68907.00000000
2026-03-26 12:18:00,69008.25000000
2026-03-26 12:19:00,69043.98000000
2026-03-26 12:20:00,69027.27000000
2026-03-26 12:21:00,68991.41000000
2026-03-26 12:22:00,68946.66000000
2026-03-26 12:23:00,69034.71000000
2026-03-26 12:24:00,69036.95000000
2026-03-26 12:25:00,68981.18000000
2026-03-26 12:26:00,68933.09000000
2026-03-26 12:27:00,68966.21000000
2026-03-26 12:28:00,68885.28000000
2026-03-26 12:29:00,68888.01000000
2026-03-26 12:30:00,68893.05000000
2026-03-26 12:31:00,68872.95000000
2026-03-26 12:32:00,68891.18000000
2026-03-26 12:33:00,68918.28000000
2026-03-26 12:34:00,68966.32000000
2026-03-26 12:35:00,68965.52000000
2026-03-26 12:36:00,68921.15000000
2026-03-26 12:37:00,68901.53000000
2026-03-26 12:38:00,68867.87000000
2026-03-26 12:39:00,68855.88000000
2026-03-26 12:40:00,68845.93000000
2026-03-26 12:41:00,68876.32000000
2026-03-26 12:42:00,68872.47000000
2026-03-26 12:43:00,68884.68000000
2026-03-26 12:44:00,68918.29000000
2026-03-26 12:45:00,68917.85000000
2026-03-26 12:46:00,68858.25000000
2026-03-26 12:47:00,68921.12000000
2026-03-26 12:48:00,68921.59000000
2026-03-26 12:49:00,68909.04000000
2026-03-26 12:50:00,68876.85000000
2026-03-26 12:51:00,68888.34000000
2026-03-26 12:52:00,68909.26000000
2026-03-26 12:53:00,68957.18000000
2026-03-26 12:54:00,68967.00000000
2026-03-26 12:55:00,68958.61000000
2026-03-26 12:56:00,68970.11000000
2026-03-26 12:57:00,68938.05000000
2026-03-26 12:58:00,68926.79000000
2026-03-26 12:59:00,68932.52000000
2026-03-26 13:00:00,68953.74000000
2026-03-26 13:01:00,68997.50000000
2026-03-26 13:02:00,68979.90000000
2026-03-26 13:03:00,69009.41000000
2026-03-26 13:04:00,69007.61000000
2026-03-26 13:05:00,69030.51000000
2026-03-26 13:06:00,68964.65000000
2026-03-26 13:07:00,68969.48000000
2026-03-26 13:08:00,68981.01000000
2026-03-26 13:09:00,69006.70000000
2026-03-26 13:10:00,68936.47000000
2026-03-26 13:11:00,68940.34000000
2026-03-26 13:12:00,68963.20000000
2026-03-26 13:13:00,68952.03000000
2026-03-26 13:14:00,68921.51000000
2026-03-26 13:15:00,68947.42000000
2026-03-26 13:16:00,68985.92000000
2026-03-26 13:17:00,68994.00000000
2026-03-26 13:18:00,68962.39000000
2026-03-26 13:19:00,69019.67000000
2026-03-26 13:20:00,68975.88000000
2026-03-26 13:21:00,68971.07000000
2026-03-26 13:22:00,69004.50000000
2026-03-26 13:23:00,69017.49000000
2026-03-26 13:24:00,68993.64000000
2026-03-26 13:25:00,68989.76000000
2026-03-26 13:26:00,69011.30000000
2026-03-26 13:27:00,69000.33000000
2026-03-26 13:28:00,69042.01000000
2026-03-26 13:29:00,69082.98000000
2026-03-26 13:30:00,69116.00000000
2026-03-26 13:31:00,69093.57000000
2026-03-26 13:32:00,69128.39000000
2026-03-26 13:33:00,69156.96000000
2026-03-26 13:34:00,69138.90000000
2026-03-26 13:35:00,69117.05000000
2026-03-26 13:36:00,69064.09000000
2026-03-26 13:37:00,69043.95000000
2026-03-26 13:38:00,69033.88000000
2026-03-26 13:39:00,69011.12000000
2026-03-26 13:40:00,68941.21000000
2026-03-26 13:41:00,68944.53000000
2026-03-26 13:42:00,68959.86000000
2026-03-26 13:43:00,68942.81000000
2026-03-26 13:44:00,68957.74000000
2026-03-26 13:45:00,68951.65000000
2026-03-26 13:46:00,68933.18000000
2026-03-26 13:47:00,68879.17000000
2026-03-26 13:48:00,68825.13000000
2026-03-26 13:49:00,68714.46000000
2026-03-26 13:50:00,68718.39000000
2026-03-26 13:51:00,68658.33000000
2026-03-26 13:52:00,68770.33000000
2026-03-26 13:53:00,68760.32000000
2026-03-26 13:54:00,68762.64000000
2026-03-26 13:55:00,68735.80000000
2026-03-26 13:56:00,68652.30000000
2026-03-26 13:57:00,68571.38000000
2026-03-26 13:58:00,68498.65000000
2026-03-26 13:59:00,68486.86000000
2026-03-26 14:00:00,68580.32000000
2026-03-26 14:01:00,68539.87000000
2026-03-26 14:02:00,68570.67000000
2026-03-26 14:03:00,68385.82000000
2026-03-26 14:04:00,68414.71000000
2026-03-26 14:05:00,68480.88000000
2026-03-26 14:06:00,68461.75000000
2026-03-26 14:07:00,68486.61000000
2026-03-26 14:08:00,68466.17000000
2026-03-26 14:09:00,68482.00000000
2026-03-26 14:10:00,68383.65000000
2026-03-26 14:11:00,68420.01000000
2026-03-26 14:12:00,68424.71000000
2026-03-26 14:13:00,68434.61000000
2026-03-26 14:14:00,68459.44000000
2026-03-26 14:15:00,68386.49000000
2026-03-26 14:16:00,68419.25000000
2026-03-26 14:17:00,68342.69000000
2026-03-26 14:18:00,68336.60000000
2026-03-26 14:19:00,68328.83000000
2026-03-26 14:20:00,68255.89000000
2026-03-26 14:21:00,68337.10000000
2026-03-26 14:22:00,68329.89000000
2026-03-26 14:23:00,68352.83000000
2026-03-26 14:24:00,68317.45000000
2026-03-26 14:25:00,68258.82000000
2026-03-26 14:26:00,68186.87000000
2026-03-26 14:27:00,68189.11000000
2026-03-26 14:28:00,68184.36000000
2026-03-26 14:29:00,68203.58000000
2026-03-26 14:30:00,68259.76000000
2026-03-26 14:31:00,68294.90000000
2026-03-26 14:32:00,68248.40000000
2026-03-26 14:33:00,68250.39000000
2026-03-26 14:34:00,68263.87000000
2026-03-26 14:35:00,68266.02000000
2026-03-26 14:36:00,68285.58000000
2026-03-26 14:37:00,68278.93000000
