Time (ET),Price
2026-03-25 12:00:00,70850.63000000
2026-03-25 12:01:00,70859.13000000
2026-03-25 12:02:00,70845.04000000
2026-03-25 12:03:00,70875.50000000
2026-03-25 12:04:00,70862.74000000
2026-03-25 12:05:00,70806.01000000
2026-03-25 12:06:00,70833.29000000
2026-03-25 12:07:00,70920.01000000
2026-03-25 12:08:00,70953.12000000
2026-03-25 12:09:00,70973.82000000
2026-03-25 12:10:00,70910.22000000
2026-03-25 12:11:00,70939.12000000
2026-03-25 12:12:00,70900.66000000
2026-03-25 12:13:00,70877.84000000
2026-03-25 12:14:00,70874.45000000
2026-03-25 12:15:00,70844.61000000
2026-03-25 12:16:00,70879.21000000
2026-03-25 12:17:00,70868.04000000
2026-03-25 12:18:00,70875.12000000
2026-03-25 12:19:00,70935.62000000
2026-03-25 12:20:00,70976.46000000
2026-03-25 12:21:00,70909.44000000
2026-03-25 12:22:00,70957.61000000
2026-03-25 12:23:00,70974.84000000
2026-03-25 12:24:00,71075.13000000
2026-03-25 12:25:00,71198.03000000
2026-03-25 12:26:00,71680.01000000
2026-03-25 12:27:00,71558.67000000
2026-03-25 12:28:00,71583.57000000
2026-03-25 12:29:00,71506.63000000
2026-03-25 12:30:00,71500.25000000
2026-03-25 12:31:00,71449.79000000
2026-03-25 12:32:00,71465.27000000
2026-03-25 12:33:00,71495.80000000
2026-03-25 12:34:00,71422.51000000
2026-03-25 12:35:00,71464.36000000
2026-03-25 12:36:00,71455.28000000
2026-03-25 12:37:00,71495.25000000
2026-03-25 12:38:00,71487.84000000
2026-03-25 12:39:00,71635.80000000
2026-03-25 12:40:00,71582.04000000
2026-03-25 12:41:00,71541.12000000
2026-03-25 12:42:00,71468.61000000
2026-03-25 12:43:00,71487.80000000
2026-03-25 12:44:00,71467.51000000
2026-03-25 12:45:00,71447.20000000
2026-03-25 12:46:00,71419.65000000
2026-03-25 12:47:00,71325.10000000
2026-03-25 12:48:00,71308.31000000
2026-03-25 12:49:00,71330.87000000
2026-03-25 12:50:00,71270.47000000
2026-03-25 12:51:00,71320.00000000
2026-03-25 12:52:00,71346.74000000
2026-03-25 12:53:00,71371.24000000
2026-03-25 12:54:00,71392.41000000
2026-03-25 12:55:00,71416.57000000
2026-03-25 12:56:00,71388.49000000
2026-03-25 12:57:00,71369.26000000
2026-03-25 12:58:00,71324.70000000
2026-03-25 12:59:00,71324.01000000
2026-03-25 13:00:00,71321.86000000
2026-03-25 13:01:00,71340.70000000
2026-03-25 13:02:00,71340.85000000
2026-03-25 13:03:00,71309.00000000
2026-03-25 13:04:00,71305.92000000
2026-03-25 13:05:00,71249.46000000
2026-03-25 13:06:00,71242.22000000
2026-03-25 13:07:00,71211.50000000
2026-03-25 13:08:00,71202.49000000
2026-03-25 13:09:00,71193.03000000
2026-03-25 13:10:00,71194.16000000
2026-03-25 13:11:00,71143.38000000
2026-03-25 13:12:00,71149.99000000
2026-03-25 13:13:00,71159.32000000
2026-03-25 13:14:00,71148.33000000
2026-03-25 13:15:00,71070.07000000
2026-03-25 13:16:00,71032.38000000
2026-03-25 13:17:00,70981.17000000
2026-03-25 13:18:00,70965.71000000
2026-03-25 13:19:00,71026.32000000
2026-03-25 13:20:00,71009.46000000
2026-03-25 13:21:00,71095.77000000
2026-03-25 13:22:00,71081.31000000
2026-03-25 13:23:00,71091.61000000
2026-03-25 13:24:00,71074.95000000
2026-03-25 13:25:00,71085.84000000
2026-03-25 13:26:00,71150.00000000
2026-03-25 13:27:00,71201.36000000
2026-03-25 13:28:00,71182.27000000
2026-03-25 13:29:00,71077.88000000
2026-03-25 13:30:00,70981.99000000
2026-03-25 13:31:00,70985.51000000
2026-03-25 13:32:00,71019.59000000
2026-03-25 13:33:00,70996.01000000
2026-03-25 13:34:00,71003.13000000
2026-03-25 13:35:00,70995.73000000
2026-03-25 13:36:00,70966.00000000
2026-03-25 13:37:00,70854.77000000
2026-03-25 13:38:00,70880.38000000
2026-03-25 13:39:00,70888.51000000
2026-03-25 13:40:00,70920.62000000
2026-03-25 13:41:00,70896.30000000
2026-03-25 13:42:00,70869.43000000
2026-03-25 13:43:00,70950.31000000
2026-03-25 13:44:00,70913.40000000
2026-03-25 13:45:00,70910.30000000
2026-03-25 13:46:00,70977.42000000
2026-03-25 13:47:00,70950.57000000
2026-03-25 13:48:00,70910.48000000
2026-03-25 13:49:00,70892.74000000
2026-03-25 13:50:00,70849.87000000
2026-03-25 13:51:00,70845.78000000
2026-03-25 13:52:00,70829.24000000
2026-03-25 13:53:00,70828.66000000
2026-03-25 13:54:00,70794.26000000
2026-03-25 13:55:00,70788.32000000
2026-03-25 13:56:00,70754.63000000
2026-03-25 13:57:00,70755.33000000
2026-03-25 13:58:00,70760.98000000
2026-03-25 13:59:00,70779.00000000
2026-03-25 14:00:00,70750.76000000
2026-03-25 14:01:00,70755.00000000
2026-03-25 14:02:00,70780.97000000
2026-03-25 14:03:00,70772.05000000
2026-03-25 14:04:00,70847.78000000
2026-03-25 14:05:00,70915.22000000
2026-03-25 14:06:00,70922.18000000
2026-03-25 14:07:00,70923.52000000
2026-03-25 14:08:00,70866.63000000
2026-03-25 14:09:00,70866.05000000
2026-03-25 14:10:00,70911.64000000
2026-03-25 14:11:00,70884.56000000
2026-03-25 14:12:00,70885.73000000
2026-03-25 14:13:00,70897.18000000
2026-03-25 14:14:00,70922.94000000
2026-03-25 14:15:00,70976.90000000
2026-03-25 14:16:00,71002.08000000
2026-03-25 14:17:00,71029.65000000
2026-03-25 14:18:00,71041.12000000
2026-03-25 14:19:00,70991.45000000
2026-03-25 14:20:00,71010.01000000
2026-03-25 14:21:00,71108.71000000
2026-03-25 14:22:00,71100.49000000
2026-03-25 14:23:00,71077.08000000
2026-03-25 14:24:00,71091.99000000
2026-03-25 14:25:00,71085.15000000
2026-03-25 14:26:00,71055.00000000
