Time (ET),Price
2026-03-16 12:00:00,73257.95000000
2026-03-16 12:01:00,73206.24000000
2026-03-16 12:02:00,73193.58000000
2026-03-16 12:03:00,73317.39000000
2026-03-16 12:04:00,73254.84000000
2026-03-16 12:05:00,73322.53000000
2026-03-16 12:06:00,73364.72000000
2026-03-16 12:07:00,73455.99000000
2026-03-16 12:08:00,73354.00000000
2026-03-16 12:09:00,73328.99000000
2026-03-16 12:10:00,73384.48000000
2026-03-16 12:11:00,73284.26000000
2026-03-16 12:12:00,73295.30000000
2026-03-16 12:13:00,73286.69000000
2026-03-16 12:14:00,73342.48000000
2026-03-16 12:15:00,73356.16000000
2026-03-16 12:16:00,73378.65000000
2026-03-16 12:17:00,73427.40000000
2026-03-16 12:18:00,73460.70000000
2026-03-16 12:19:00,73446.44000000
2026-03-16 12:20:00,73452.61000000
2026-03-16 12:21:00,73404.72000000
2026-03-16 12:22:00,73439.67000000
2026-03-16 12:23:00,73436.00000000
2026-03-16 12:24:00,73419.15000000
2026-03-16 12:25:00,73427.57000000
2026-03-16 12:26:00,73463.96000000
2026-03-16 12:27:00,73429.99000000
2026-03-16 12:28:00,73420.61000000
2026-03-16 12:29:00,73413.67000000
2026-03-16 12:30:00,73386.88000000
2026-03-16 12:31:00,73457.99000000
2026-03-16 12:32:00,73476.02000000
2026-03-16 12:33:00,73462.35000000
2026-03-16 12:34:00,73420.01000000
2026-03-16 12:35:00,73490.38000000
2026-03-16 12:36:00,73406.37000000
2026-03-16 12:37:00,73411.05000000
2026-03-16 12:38:00,73441.52000000
2026-03-16 12:39:00,73440.82000000
2026-03-16 12:40:00,73480.61000000
2026-03-16 12:41:00,73597.58000000
2026-03-16 12:42:00,73622.69000000
2026-03-16 12:43:00,73637.18000000
2026-03-16 12:44:00,73657.29000000
2026-03-16 12:45:00,73631.58000000
2026-03-16 12:46:00,73741.85000000
2026-03-16 12:47:00,73626.24000000
2026-03-16 12:48:00,73651.20000000
2026-03-16 12:49:00,73729.37000000
2026-03-16 12:50:00,73815.05000000
2026-03-16 12:51:00,73814.95000000
2026-03-16 12:52:00,73895.75000000
2026-03-16 12:53:00,73844.56000000
2026-03-16 12:54:00,73824.41000000
2026-03-16 12:55:00,73784.21000000
2026-03-16 12:56:00,73789.07000000
2026-03-16 12:57:00,73720.43000000
2026-03-16 12:58:00,73770.48000000
2026-03-16 12:59:00,73760.63000000
2026-03-16 13:00:00,73930.75000000
2026-03-16 13:01:00,73875.09000000
2026-03-16 13:02:00,73852.52000000
2026-03-16 13:03:00,73742.77000000
2026-03-16 13:04:00,73771.14000000
2026-03-16 13:05:00,73821.22000000
2026-03-16 13:06:00,73795.05000000
2026-03-16 13:07:00,73743.40000000
2026-03-16 13:08:00,73731.60000000
2026-03-16 13:09:00,73732.03000000
2026-03-16 13:10:00,73794.78000000
2026-03-16 13:11:00,73841.25000000
2026-03-16 13:12:00,73877.99000000
2026-03-16 13:13:00,73870.12000000
2026-03-16 13:14:00,73835.65000000
2026-03-16 13:15:00,73801.19000000
2026-03-16 13:16:00,73770.01000000
2026-03-16 13:17:00,73789.98000000
2026-03-16 13:18:00,73866.88000000
2026-03-16 13:19:00,73844.77000000
2026-03-16 13:20:00,73883.89000000
2026-03-16 13:21:00,73788.08000000
2026-03-16 13:22:00,73814.24000000
2026-03-16 13:23:00,73790.39000000
2026-03-16 13:24:00,73784.34000000
2026-03-16 13:25:00,73829.93000000
2026-03-16 13:26:00,73774.73000000
2026-03-16 13:27:00,73754.71000000
2026-03-16 13:28:00,73737.52000000
2026-03-16 13:29:00,73683.26000000
2026-03-16 13:30:00,73742.07000000
2026-03-16 13:31:00,73791.32000000
2026-03-16 13:32:00,73742.41000000
2026-03-16 13:33:00,73663.60000000
2026-03-16 13:34:00,73665.47000000
2026-03-16 13:35:00,73734.01000000
2026-03-16 13:36:00,73829.97000000
2026-03-16 13:37:00,73884.35000000
2026-03-16 13:38:00,73936.65000000
2026-03-16 13:39:00,73946.36000000
2026-03-16 13:40:00,73894.62000000
2026-03-16 13:41:00,73942.80000000
2026-03-16 13:42:00,73920.28000000
2026-03-16 13:43:00,73925.80000000
2026-03-16 13:44:00,73893.28000000
2026-03-16 13:45:00,73878.44000000
2026-03-16 13:46:00,73874.02000000
2026-03-16 13:47:00,74030.96000000
2026-03-16 13:48:00,73989.53000000
2026-03-16 13:49:00,73947.50000000
