Time (ET),Price
2026-03-21 12:00:00,70600.32000000
2026-03-21 12:01:00,70629.72000000
2026-03-21 12:02:00,70647.25000000
2026-03-21 12:03:00,70632.96000000
2026-03-21 12:04:00,70629.09000000
2026-03-21 12:05:00,70638.92000000
2026-03-21 12:06:00,70651.15000000
2026-03-21 12:07:00,70639.30000000
2026-03-21 12:08:00,70632.27000000
2026-03-21 12:09:00,70612.93000000
2026-03-21 12:10:00,70600.33000000
2026-03-21 12:11:00,70591.35000000
2026-03-21 12:12:00,70587.27000000
2026-03-21 12:13:00,70562.24000000
2026-03-21 12:14:00,70566.84000000
2026-03-21 12:15:00,70586.43000000
2026-03-21 12:16:00,70619.32000000
2026-03-21 12:17:00,70541.90000000
2026-03-21 12:18:00,70555.49000000
2026-03-21 12:19:00,70507.56000000
2026-03-21 12:20:00,70504.81000000
2026-03-21 12:21:00,70525.31000000
2026-03-21 12:22:00,70545.14000000
2026-03-21 12:23:00,70534.81000000
2026-03-21 12:24:00,70520.28000000
2026-03-21 12:25:00,70521.60000000
2026-03-21 12:26:00,70525.65000000
2026-03-21 12:27:00,70523.71000000
2026-03-21 12:28:00,70391.74000000
2026-03-21 12:29:00,70414.32000000
2026-03-21 12:30:00,70429.15000000
2026-03-21 12:31:00,70457.98000000
2026-03-21 12:32:00,70448.65000000
2026-03-21 12:33:00,70454.80000000
2026-03-21 12:34:00,70466.84000000
2026-03-21 12:35:00,70457.81000000
2026-03-21 12:36:00,70462.22000000
2026-03-21 12:37:00,70474.42000000
2026-03-21 12:38:00,70465.20000000
2026-03-21 12:39:00,70426.45000000
2026-03-21 12:40:00,70376.04000000
2026-03-21 12:41:00,70371.61000000
2026-03-21 12:42:00,70365.81000000
2026-03-21 12:43:00,70362.78000000
2026-03-21 12:44:00,70371.22000000
2026-03-21 12:45:00,70378.97000000
2026-03-21 12:46:00,70401.77000000
2026-03-21 12:47:00,70430.65000000
2026-03-21 12:48:00,70427.70000000
2026-03-21 12:49:00,70414.78000000
2026-03-21 12:50:00,70408.64000000
2026-03-21 12:51:00,70407.41000000
2026-03-21 12:52:00,70397.27000000
2026-03-21 12:53:00,70387.45000000
2026-03-21 12:54:00,70370.43000000
2026-03-21 12:55:00,70339.44000000
2026-03-21 12:56:00,70279.31000000
2026-03-21 12:57:00,70286.84000000
2026-03-21 12:58:00,70297.68000000
2026-03-21 12:59:00,70301.66000000
2026-03-21 13:00:00,70306.38000000
2026-03-21 13:01:00,70302.42000000
2026-03-21 13:02:00,70332.00000000
2026-03-21 13:03:00,70319.03000000
2026-03-21 13:04:00,70360.87000000
2026-03-21 13:05:00,70328.93000000
2026-03-21 13:06:00,70318.98000000
2026-03-21 13:07:00,70318.99000000
2026-03-21 13:08:00,70268.33000000
2026-03-21 13:09:00,70253.38000000
2026-03-21 13:10:00,70226.30000000
2026-03-21 13:11:00,70234.99000000
2026-03-21 13:12:00,70263.40000000
2026-03-21 13:13:00,70279.09000000
2026-03-21 13:14:00,70279.10000000
2026-03-21 13:15:00,70255.15000000
2026-03-21 13:16:00,70282.16000000
2026-03-21 13:17:00,70302.31000000
2026-03-21 13:18:00,70273.49000000
2026-03-21 13:19:00,70292.33000000
2026-03-21 13:20:00,70288.30000000
2026-03-21 13:21:00,70337.84000000
2026-03-21 13:22:00,70334.95000000
2026-03-21 13:23:00,70341.92000000
2026-03-21 13:24:00,70374.78000000
2026-03-21 13:25:00,70404.92000000
