Time (ET),Price
2026-03-15 12:00:00,71458.92000000
2026-03-15 12:01:00,71474.18000000
2026-03-15 12:02:00,71483.21000000
2026-03-15 12:03:00,71517.99000000
2026-03-15 12:04:00,71547.74000000
2026-03-15 12:05:00,71570.54000000
2026-03-15 12:06:00,71585.45000000
2026-03-15 12:07:00,71556.63000000
2026-03-15 12:08:00,71559.96000000
2026-03-15 12:09:00,71559.26000000
2026-03-15 12:10:00,71560.54000000
2026-03-15 12:11:00,71554.55000000
2026-03-15 12:12:00,71551.54000000
2026-03-15 12:13:00,71562.98000000
2026-03-15 12:14:00,71559.98000000
2026-03-15 12:15:00,71461.08000000
2026-03-15 12:16:00,71360.14000000
2026-03-15 12:17:00,71396.64000000
2026-03-15 12:18:00,71378.37000000
2026-03-15 12:19:00,71448.55000000
2026-03-15 12:20:00,71420.45000000
2026-03-15 12:21:00,71397.82000000
2026-03-15 12:22:00,71411.36000000
2026-03-15 12:23:00,71397.80000000
2026-03-15 12:24:00,71392.00000000
2026-03-15 12:25:00,71352.01000000
2026-03-15 12:26:00,71366.67000000
2026-03-15 12:27:00,71367.16000000
2026-03-15 12:28:00,71383.46000000
2026-03-15 12:29:00,71405.70000000
2026-03-15 12:30:00,71371.18000000
2026-03-15 12:31:00,71343.96000000
2026-03-15 12:32:00,71331.58000000
2026-03-15 12:33:00,71395.15000000
2026-03-15 12:34:00,71392.81000000
2026-03-15 12:35:00,71407.02000000
2026-03-15 12:36:00,71439.23000000
2026-03-15 12:37:00,71437.94000000
2026-03-15 12:38:00,71481.99000000
2026-03-15 12:39:00,71471.50000000
2026-03-15 12:40:00,71478.80000000
2026-03-15 12:41:00,71459.34000000
2026-03-15 12:42:00,71456.00000000
2026-03-15 12:43:00,71450.02000000
2026-03-15 12:44:00,71450.02000000
2026-03-15 12:45:00,71464.98000000
2026-03-15 12:46:00,71443.88000000
2026-03-15 12:47:00,71439.97000000
2026-03-15 12:48:00,71426.05000000
2026-03-15 12:49:00,71400.00000000
2026-03-15 12:50:00,71376.44000000
2026-03-15 12:51:00,71376.53000000
2026-03-15 12:52:00,71403.18000000
2026-03-15 12:53:00,71411.95000000
2026-03-15 12:54:00,71425.50000000
2026-03-15 12:55:00,71429.68000000
2026-03-15 12:56:00,71430.25000000
2026-03-15 12:57:00,71425.24000000
2026-03-15 12:58:00,71420.98000000
2026-03-15 12:59:00,71437.35000000
2026-03-15 13:00:00,71413.79000000
2026-03-15 13:01:00,71420.01000000
2026-03-15 13:02:00,71439.58000000
2026-03-15 13:03:00,71466.52000000
2026-03-15 13:04:00,71479.76000000
2026-03-15 13:05:00,71474.20000000
2026-03-15 13:06:00,71479.84000000
2026-03-15 13:07:00,71477.73000000
2026-03-15 13:08:00,71509.09000000
2026-03-15 13:09:00,71507.07000000
2026-03-15 13:10:00,71482.01000000
2026-03-15 13:11:00,71496.90000000
2026-03-15 13:12:00,71482.12000000
2026-03-15 13:13:00,71482.12000000
2026-03-15 13:14:00,71482.12000000
2026-03-15 13:15:00,71461.06000000
2026-03-15 13:16:00,71488.30000000
2026-03-15 13:17:00,71456.63000000
2026-03-15 13:18:00,71486.16000000
2026-03-15 13:19:00,71530.08000000
2026-03-15 13:20:00,71525.45000000
2026-03-15 13:21:00,71500.49000000
2026-03-15 13:22:00,71487.47000000
2026-03-15 13:23:00,71514.08000000
2026-03-15 13:24:00,71528.18000000
2026-03-15 13:25:00,71523.38000000
2026-03-15 13:26:00,71527.46000000
2026-03-15 13:27:00,71520.44000000
2026-03-15 13:28:00,71506.76000000
2026-03-15 13:29:00,71515.17000000
2026-03-15 13:30:00,71527.46000000
2026-03-15 13:31:00,71545.20000000
2026-03-15 13:32:00,71490.60000000
2026-03-15 13:33:00,71504.70000000
2026-03-15 13:34:00,71483.84000000
2026-03-15 13:35:00,71508.59000000
2026-03-15 13:36:00,71503.46000000
2026-03-15 13:37:00,71497.63000000
2026-03-15 13:38:00,71507.87000000
2026-03-15 13:39:00,71519.99000000
2026-03-15 13:40:00,71526.40000000
2026-03-15 13:41:00,71544.77000000
2026-03-15 13:42:00,71538.41000000
2026-03-15 13:43:00,71526.41000000
2026-03-15 13:44:00,71521.37000000
2026-03-15 13:45:00,71582.13000000
2026-03-15 13:46:00,71557.08000000
2026-03-15 13:47:00,71542.47000000
2026-03-15 13:48:00,71555.72000000
2026-03-15 13:49:00,71574.04000000
2026-03-15 13:50:00,71542.80000000
2026-03-15 13:51:00,71585.94000000
2026-03-15 13:52:00,71805.52000000
2026-03-15 13:53:00,71908.57000000
2026-03-15 13:54:00,71964.84000000
2026-03-15 13:55:00,71839.17000000
2026-03-15 13:56:00,71836.49000000
2026-03-15 13:57:00,71842.10000000
2026-03-15 13:58:00,71816.08000000
2026-03-15 13:59:00,71819.95000000
2026-03-15 14:00:00,71791.41000000
2026-03-15 14:01:00,71821.68000000
2026-03-15 14:02:00,71803.72000000
2026-03-15 14:03:00,71813.59000000
2026-03-15 14:04:00,71807.99000000
2026-03-15 14:05:00,71787.83000000
2026-03-15 14:06:00,71791.91000000
2026-03-15 14:07:00,71797.69000000
2026-03-15 14:08:00,71797.67000000
2026-03-15 14:09:00,71768.41000000
2026-03-15 14:10:00,71756.69000000
2026-03-15 14:11:00,71760.12000000
2026-03-15 14:12:00,71711.17000000
2026-03-15 14:13:00,71709.86000000
2026-03-15 14:14:00,71719.15000000
2026-03-15 14:15:00,71724.23000000
2026-03-15 14:16:00,71736.48000000
2026-03-15 14:17:00,71742.71000000
2026-03-15 14:18:00,71765.77000000
2026-03-15 14:19:00,71762.74000000
2026-03-15 14:20:00,71734.58000000
2026-03-15 14:21:00,71745.27000000
2026-03-15 14:22:00,71755.93000000
2026-03-15 14:23:00,71707.99000000
2026-03-15 14:24:00,71717.26000000
2026-03-15 14:25:00,71729.38000000
2026-03-15 14:26:00,71716.86000000
2026-03-15 14:27:00,71723.27000000
2026-03-15 14:28:00,71705.77000000
2026-03-15 14:29:00,71726.37000000
2026-03-15 14:30:00,71811.65000000
2026-03-15 14:31:00,71785.33000000
2026-03-15 14:32:00,71773.12000000
2026-03-15 14:33:00,71799.06000000
2026-03-15 14:34:00,71754.20000000
2026-03-15 14:35:00,71746.36000000
2026-03-15 14:36:00,71763.09000000
2026-03-15 14:37:00,71744.74000000
2026-03-15 14:38:00,71735.19000000
2026-03-15 14:39:00,71698.48000000
2026-03-15 14:40:00,71715.44000000
2026-03-15 14:41:00,71717.70000000
2026-03-15 14:42:00,71704.07000000
2026-03-15 14:43:00,71709.78000000
2026-03-15 14:44:00,71692.01000000
2026-03-15 14:45:00,71704.51000000
2026-03-15 14:46:00,71588.01000000
2026-03-15 14:47:00,71465.38000000
2026-03-15 14:48:00,71442.90000000
2026-03-15 14:49:00,71428.12000000
2026-03-15 14:50:00,71469.32000000
2026-03-15 14:51:00,71426.32000000
2026-03-15 14:52:00,71392.14000000
2026-03-15 14:53:00,71394.10000000
2026-03-15 14:54:00,71400.00000000
2026-03-15 14:55:00,71366.16000000
2026-03-15 14:56:00,71365.40000000
2026-03-15 14:57:00,71370.03000000
2026-03-15 14:58:00,71379.86000000
2026-03-15 14:59:00,71390.53000000
2026-03-15 15:00:00,71447.75000000
2026-03-15 15:01:00,71416.00000000
2026-03-15 15:02:00,71408.88000000
2026-03-15 15:03:00,71422.70000000
2026-03-15 15:04:00,71479.63000000
2026-03-15 15:05:00,71459.64000000
2026-03-15 15:06:00,71466.94000000
2026-03-15 15:07:00,71429.41000000
2026-03-15 15:08:00,71408.29000000
2026-03-15 15:09:00,71392.07000000
2026-03-15 15:10:00,71384.09000000
2026-03-15 15:11:00,71364.06000000
2026-03-15 15:12:00,71390.67000000
2026-03-15 15:13:00,71454.77000000
2026-03-15 15:14:00,71488.81000000
2026-03-15 15:15:00,71467.76000000
2026-03-15 15:16:00,71447.11000000
2026-03-15 15:17:00,71462.95000000
2026-03-15 15:18:00,71450.65000000
2026-03-15 15:19:00,71477.38000000
2026-03-15 15:20:00,71484.43000000
2026-03-15 15:21:00,71491.14000000
2026-03-15 15:22:00,71484.27000000
2026-03-15 15:23:00,71506.28000000
2026-03-15 15:24:00,71504.04000000
2026-03-15 15:25:00,71504.04000000
2026-03-15 15:26:00,71523.46000000
2026-03-15 15:27:00,71523.47000000
2026-03-15 15:28:00,71544.47000000
2026-03-15 15:29:00,71525.33000000
2026-03-15 15:30:00,71521.73000000
2026-03-15 15:31:00,71520.59000000
2026-03-15 15:32:00,71520.44000000
2026-03-15 15:33:00,71538.67000000
2026-03-15 15:34:00,71536.45000000
2026-03-15 15:35:00,71509.01000000
2026-03-15 15:36:00,71516.30000000
2026-03-15 15:37:00,71518.64000000
2026-03-15 15:38:00,71494.06000000
2026-03-15 15:39:00,71499.99000000
2026-03-15 15:40:00,71505.74000000
